	treat_supervised	automatic_type	type	report_problem	automatic_AL	AL	automatic_AL_axe	optical_state	model	Date	Hour	condition	drug	tolerance	bead	cell	couple	main_axis	stiffness (N/m)	theorical_contact_force (N)	theorical_distance_Press (m)	theorical_speed_Press (m/s)	theorical_freq_Press (Hz)	time_segment_pause_Wait1 (s)	theorical_distance_Pull (m)	theorical_speed_Pull (m/s)	theorical_freq_Pull (Hz)	time_segment_pause_Wait (s)	baseline_origin_press (N)	baseline_corrected_press (pN)	std_origin_press (N)	std_corrected_press (pN)	slope (pN/nm)	error (pN/nm)	contact_point_index	contact_point_value  (pN)	force_min_press_index	force_min_press_value (pN)	force_min_curve_index	force_min_curve_value (pN)	time_min_curve_index	time_min_curve_value (s)	point_release_index	point_release_value (pN)	force_max_pull_index	force_max_pull_value (pN)	force_max_curve_index	force_max_curve_value (pN)	transition_point_index	transition_point_value (pN)	point_return_endline_index	point_return_endline_value (pN)	Pente (pN/nm)	jump_force_start_pull (pN)	jump_force_end_pull (pN)	jump_nb_points_start	jump_nb_points_end	jump_time_start_pull (s)	jump_time_end_pull (s)	jump_distance_start_pull (nm)	slope_fitted_classification_max	slope_fitted_classification_release	slope_fitted_classification_max_transition	slope_fitted_classification_return_endline	jump_distance_end_pull (nm)	relative_path	transition_point_value	valid_fit_press	valid_fit_pull
b1c1-2021.06.02-15.32.23.111	False	FTU	FTU	False	No	No	['+y', '-z']	No_correction	linear	2021.06.02	15.32.23.111	NaN	NaN	4.0	b1	c1	b1c1	+x	8.549E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.0	2.0E-05	2.0E-06	2.0E+03	0.1	-3.673E+01	1.637E-02	2.816E-13	2.816E-01	-6.04E+01	7.72E-01	11163.0	-0.370027211723402	11627.0	-15.574038918774214	0.0	-19.982435457450585	0.0	5.778711021490926	570.0	0.24938214579766352	1404.0	13.888173896521085	1404.0	13.888173896521085	8089	0.3725121121643569	8113	0.9090285293570431	0.3409222871201318	13.04901680989866	11.886883579954173	834.0	6709.0	0.40725464709051723	3.2761048289331898	884.4085473812011	0.006794604183674129	0.024346642233450892	-9.673243175674836e-05	0.00018189682889424013	6411.971727527343	/home/php/Bureau/set_demo/b1c1-2021.06.02-15.32.23.111.jpk-nt-force	NaN	False	False
b8c8-2019.05.07-18.39.57.615	False	AD	AD	False	No	No	['-y']	No_correction	linear	2019.05.07	18.39.57.615	NaN	NaN	4.0	b8	c8	b8c8	+x	2.135E-04	1.0E-11	1.0E-05	2.5E-06	2.0E+03	1.0	2.0E-05	2.5E-06	2.0E+03	0.0	2.214E+01	1.435E-02	5.590E-13	5.590E-01	-1.37E+01	7.39E-02	15121.0	-0.44783877199998673	16492.0	-10.322590771999987	494.0	-16.885206771999986	494.0	8.29419785938	253.0	-0.018572771999985128	728.0	28.004094428000013	728.0	28.004094428000013	830	25.855975528000013	863	1.8126486892596627	0.12733517644908393	28.72769377232249	26.41325712206511	475.0	135.0	0.23193360000000002	0.06591796	596.3023491991044	0.028928861483779083	0.03613619113682297	-0.21197281422656297	-0.40600938124261476	157.19656589496662	/home/php/Bureau/set_demo/b8c8d-2019.05.07-18.39.57.615.txt	NaN	False	False
b3c3-2021.06.07-14.58.15.777	False	AD	AD	False	No	No	['-z']	No_correction	linear	2021.06.07	14.58.15.777	NaN	NaN	4.0	b3	c3	b3c3	-x	6.454E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.0	2.0E-05	2.0E-06	2.0E+03	0.0	1.366E+01	-1.625E-03	3.773E-13	3.773E-01	-7.20E+01	2.41E-01	19359.0	-0.7460711411050338	20663.0	-15.519749009588102	71.0	-16.74115105877536	71.0	10.125001716485276	497.0	-0.1610431031220192	1153.0	31.483804064552995	1153.0	31.483804064552995	1175	0.211706575469201	1204	0.9359381330775329	0.2610055595452302	31.60804102804687	30.30471304127357	656.0	51.0	0.32032814102251084	0.024903559744128168	646.8507610134056	0.04767571793750246	0.04331772555914194	-0.26775970072040317	-0.2664351004841661	56.14623110586217	/home/php/Bureau/set_demo/b3c3-2021.06.07-14.58.15.777.jpk-nt-force	NaN	False	False
b3c3-2021.06.07-14.58.55.908	False	NAD	NAD	False	No	No	['-z']	No_correction	linear	2021.06.07	14.58.55.908	NaN	NaN	4.0	b3	c3	b3c3	-x	6.454E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.0	2.0E-05	2.0E-06	2.0E+03	0.0	1.362E+01	-1.159E-03	3.791E-13	3.791E-01	-8.87E+01	1.80E-01	20078.0	-0.6066240837207717	20536.0	-15.238334075864332	25.0	-16.645512377814388	25.0	10.040527963602397	499.0	-1.3383338598416008	1084.0	-0.155267613751701	1940.0	1.5729182457416326	NaN	NaN	NaN	NaN	0.2522834192007086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/set_demo/b3c3-2021.06.07-14.58.55.908.jpk-nt-force	NaN	False	False
b4c6-2019.05.07-15.03.40.822	False	AD	AD	False	Yes	Yes	NaN	No_correction	linear	2019.05.07	15.03.40.822	NaN	NaN	4.0	b4	c6	b4c6	-x	1.800E-04	1.0E-11	1.0E-05	2.5E-06	2.0E+03	0.0	1.0E-05	2.5E-06	2.0E+03	1.0	2.614E+01	-1.278E-04	4.900E-13	4.900E-01	-1.40E+02	9.22E-01	8058.0	0.3922107649964319	8201.0	-9.84980423962171	402.0	-23.991568605988864	402.0	4.201564418296554	220.0	-1.131675097212173	513.0	37.26094254756021	513.0	37.26094254756021	518	1.8070247873814789	554	1.4026643699877344	0.11320248884962793	33.69811577422109	31.928077648288138	293.0	41.0	0.14308387254303503	0.02002197533878647	345.39468503299213	0.11572341930226891	0.11776212686557273	-0.24168829460280752	-0.2978241457084262	61.48248309502742	/home/php/Bureau/set_demo/b4c6d-2019.05.07-15.03.40.822.jpk-nt-force	NaN	False	False
b4c4-2021.06.07-15.04.04.912	False	RE	RE	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	15.04.04.912	NaN	NaN	4.0	b4	c4	b4c4	+x	6.454E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.0	2.0E-05	2.0E-06	2.0E+03	0.1	1.875E+01	2.367E-02	5.132E-13	5.132E-01	-8.02E+01	2.92E-01	9491.0	0.25792319026322874	10295.0	-15.182911190093723	128.0	-18.78987836054821	128.0	5.0905771767181855	0.0	-18.494673970988543	10219.0	-0.7716820130934833	7502.0	1.966223549597037	NaN	NaN	NaN	NaN	0.1874617101796312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/set_demo/b4c4-2021.06.07-15.04.04.912.jpk-nt-force	NaN	False	False
b4c6-2019.05.07-15.03.10.834	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2019.05.07	15.03.10.834	NaN	NaN	4.0	b4	c6	b4c6	-x	1.800E-04	1.0E-11	1.0E-05	2.5E-06	2.0E+03	0.0	1.0E-05	2.5E-06	2.0E+03	1.0	2.607E+01	2.498E-02	4.777E-13	4.777E-01	-1.68E+02	1.10E+00	8094.0	-0.3977452091268044	8216.0	-10.256214296887737	395.0	-24.234926332743484	395.0	4.205472336303396	254.0	-2.2924185074715115	52.0	-18.43614299678307	299.0	2.8668091343118123	NaN	NaN	NaN	NaN	0.12765105382189698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/set_demo/b4c6d-2019.05.07-15.03.10.834.jpk-nt-force	NaN	False	False
b2c2-2019.05.07-18.15.16.284	False	ITU	ITU	False	No	No	['-y']	No_correction	linear	2019.05.07	18.15.16.284	NaN	NaN	4.0	b2	c2	b2c2	+x	2.336E-04	1.0E-11	1.0E-05	2.5E-06	2.0E+03	1.0	2.0E-05	2.5E-06	2.0E+03	0.0	2.342E+01	-2.846E-02	4.058E-13	4.058E-01	-8.57E+00	5.64E-02	6458.0	-0.7339187730000274	8130.0	-10.546407773000025	223.0	-16.121511773000027	223.0	4.078995259379999	148.0	-0.41786777300002714	561.0	90.33427222699997	561.0	90.33427222699997	16383	NaN	NaN	NaN	0.3461421087257693	NaN	34.207587000000004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0011576306858417029	NaN	19306.907168544	/home/php/Bureau/set_demo/b2c2d-2019.05.07-18.15.16.284.txt	56.12668522699997	False	False
b4c4-2019.05.07-18.22.23.596	False	ITU	ITU	False	No	No	['-y', '-z']	No_correction	linear	2019.05.07	18.22.23.596	NaN	NaN	4.0	b4	c4	b4c4	+x	2.336E-04	1.0E-11	1.0E-05	2.5E-06	2.0E+03	0.1	2.0E-05	2.5E-06	2.0E+03	0.0	2.905E+01	-1.363E-03	4.902E-13	4.902E-01	-1.00E+02	1.32E+00	5495.0	-0.6602861330000002	5664.0	-10.315108132999999	167.0	-19.301536133000003	167.0	2.84757635938	203.0	-0.2870361330000035	709.0	57.143296867000004	709.0	57.143296867000004	16383	NaN	NaN	NaN	0.22048789173485314	NaN	35.356719000000005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.00016580108087515166	NaN	19139.137699747807	/home/php/Bureau/set_demo/b4c4d-2019.05.07-18.22.23.596.txt	21.786577867	False	False
b7c7-2019.05.07-18.29.57.187	False	ITU	ITU	False	No	No	['-y']	No_correction	linear	2019.05.07	18.29.57.187	NaN	NaN	4.0	b7	c7	b7c7	+x	2.336E-04	1.0E-11	1.0E-05	2.5E-06	2.0E+03	0.5	2.0E-05	2.5E-06	2.0E+03	0.0	2.764E+01	2.808E-03	5.156E-13	5.156E-01	-8.01E+00	3.48E-02	11540.0	-0.20041909499999647	13362.0	-9.845928095	404.0	-18.094716094999995	404.0	6.721975359379999	174.0	-1.1859280949999966	591.0	76.19314690499999	591.0	76.19314690499999	16383	NaN	NaN	NaN	0.31504818116804084	NaN	46.857901199999986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0003111497554078277	NaN	19274.184116958713	/home/php/Bureau/set_demo/b7c7d-2019.05.07-18.29.57.187.txt	29.335245705000002	False	False
