	treat_supervised	automatic_type	type	report_problem	automatic_AL	AL	automatic_AL_axe	optical_state	model	Date	Hour	condition	drug	tolerance	bead	cell	couple	main_axis	stiffness (N/m)	theorical_contact_force (N)	theorical_distance_Press (m)	theorical_speed_Press (m/s)	theorical_freq_Press (Hz)	theorical_distance_Pull (m)	theorical_speed_Pull (m/s)	theorical_freq_Pull (Hz)	time_segment_pause_Wait (s)	baseline_origin_press (N)	baseline_corrected_press (pN)	std_origin_press (N)	std_corrected_press (pN)	slope (pN/nm)	error (pN/nm)	contact_point_index	contact_point_value  (pN)	force_min_press_index	force_min_press_value (pN)	force_min_curve_index	force_min_curve_value (pN)	time_min_curve_index	time_min_curve_value (s)	point_release_index	point_release_value (pN)	force_max_pull_index	force_max_pull_value (pN)	force_max_curve_index	force_max_curve_value (pN)	transition_point_index	transition_point_value (pN)	point_return_endline_index	point_return_endline_value (pN)	Pente (pN/nm)	transition_point_value	relative_path	jump_force_start_pull (pN)	jump_force_end_pull (pN)	jump_nb_points_start	jump_nb_points_end	jump_time_start_pull (s)	jump_time_end_pull (s)	jump_distance_start_pull (nm)	slope_fitted_classification_max	slope_fitted_classification_release	slope_fitted_classification_max_transition	slope_fitted_classification_return_endline	jump_distance_end_pull (nm)	valid_fit_press	valid_fit_pull
b1c1-2021.06.07-14.27.29.473	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.27.29.473	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.655E+01	3.274E-02	3.712E-13	3.712E-01	-5.55E+01	1.70E-01	19890.0	-0.5757833688782844	20643.0	-15.519734376428067	143.0	-17.978268906259032	143.0	10.150664469119286	631.0	-0.4745171829133884	189.0	-10.73883769342822	868.0	2.09100024427633	NaN	NaN	NaN	NaN	0.23636840474188608	NaN	/home/php/Bureau/21-Lucie/test/b1c1-2021.06.07-14.27.29.473.jpk-nt-force	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	False	False
b1c1-2021.06.07-14.27.49.704	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.27.49.704	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.655E+01	2.937E-03	4.020E-13	4.020E-01	-4.89E+01	1.50E-01	20255.0	-1.6571157812093094	20740.0	-14.617902568752847	43.0	-18.927952917281054	43.0	10.249415134835894	393.0	-0.8390395205745104	127.0	-13.66094888405609	519.0	2.8841682229331767	NaN	NaN	NaN	NaN	0.19219437369016643	NaN	/home/php/Bureau/21-Lucie/test/b1c1-2021.06.07-14.27.49.704.jpk-nt-force	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	False	False
b1c1-2021.06.07-14.28.49.963	False	AD	AD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.28.49.963	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.653E+01	8.674E-04	4.374E-13	4.374E-01	-6.35E+01	1.32E-01	19625.0	-0.37354793579161455	20109.0	-15.192015819822997	158.0	-19.124006307627727	158.0	9.897275223423884	383.0	-0.550478481034389	641.0	5.624546811732906	641.0	5.624546811732906	694	3.0686050032049788	735	1.7099643453118079	0.1934191076353383	NaN	/home/php/Bureau/21-Lucie/test/b1c1-2021.06.07-14.28.49.963.jpk-nt-force	5.2252405989192185	3.0934944055777454	258.0	94.0	0.12598271399970704	0.04590067874407927	232.4993030850128	0.010260615032428328	0.056599939577364124	-0.02768224441012086	-0.013881513945121791	86.74512172498726	False	False
b1c1-2021.06.07-14.26.48.956	False	NAD	NAD	False	No	No	['+y', '-z']	No_correction	linear	2021.06.07	14.26.48.956	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.669E+01	1.107E-02	3.982E-13	3.982E-01	-7.62E+01	1.63E-01	20159.0	-0.10012345964910724	20587.0	-14.95397788573242	157.0	-18.013069523986893	157.0	10.130183464281666	617.0	0.4728009734960159	1448.0	0.22183052193366043	4617.0	1.780165935470317	NaN	NaN	NaN	NaN	0.2560513648635924	NaN	/home/php/Bureau/21-Lucie/test/b1c1-2021.06.07-14.26.48.956.jpk-nt-force	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	False	False
b2c2-2021.06.07-14.38.32.423	False	NAD	NAD	False	No	No	['-z']	No_correction	linear	2021.06.07	14.38.32.423	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.657E+01	-2.855E-02	4.155E-13	4.155E-01	-1.33E+02	9.12E-01	20227.0	-0.3685473756277495	20462.0	-14.940702326693222	204.0	-19.766322413529604	204.0	10.092187523862831	333.0	0.05604665190432005	106.0	-15.267762574872755	461.0	4.037302405512624	NaN	NaN	NaN	NaN	0.17288759112333374	NaN	/home/php/Bureau/21-Lucie/test/b2c2-2021.06.07-14.38.32.423.jpk-nt-force	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	False	False
b1c1-2021.06.07-14.26.08.760	False	NAD	NAD	False	No	No	['+y']	No_correction	linear	2021.06.07	14.26.08.760	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.689E+01	1.557E-03	3.587E-13	3.587E-01	-4.89E+01	2.43E-01	10756.0	-0.9206692825311931	13136.0	-14.966693092301531	46.0	-15.811587479833408	46.0	6.437588119279071	1649.0	-0.5753681040182442	1217.0	-1.2652486318641731	4433.0	1.8574886352724143	NaN	NaN	NaN	NaN	0.22660687935762977	NaN	/home/php/Bureau/21-Lucie/test/b1c1-2021.06.07-14.26.08.760.jpk-nt-force	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	False	False
b2c2-2021.06.07-14.40.53.124	False	FTU	FTU	False	No	No	['-z']	No_correction	linear	2021.06.07	14.40.53.124	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.610E+01	2.885E-03	4.154E-13	4.154E-01	-1.21E+02	1.42E+00	20282.0	0.5011934837710029	20528.0	-15.131851941025351	196.0	-20.845069757680427	196.0	10.120492517658658	355.0	-0.4970112528207764	584.0	5.203770792896815	584.0	5.203770792896815	838	2.3755102995723805	1195	1.6602049147859625	0.1793817140413087	NaN	/home/php/Bureau/21-Lucie/test/b2c2-2021.06.07-14.40.53.124.jpk-nt-force	4.2379185400001615	2.215426881755838	229.0	611.0	0.1118218663020655	0.29835441183651545	185.08034780341404	0.026088842681438098	0.041443585660323586	-0.0031322095638184402	-0.0030957408237087974	597.365483392261	False	False
b2c2-2021.06.07-14.38.52.510	False	FTU	FTU	False	No	No	['-y']	No_correction	linear	2021.06.07	14.38.52.510	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.638E+01	-1.279E-02	3.853E-13	3.853E-01	-1.23E+02	6.62E-01	20201.0	0.26211673477562436	20444.0	-15.416032542238689	199.0	-19.916439937110052	199.0	10.080947480991684	357.0	-0.4835761762692974	1333.0	37.31137562155488	1333.0	37.31137562155488	1519	-0.025762839107586043	1551	0.8769144889019709	0.19290063338988866	NaN	/home/php/Bureau/21-Lucie/test/b2c2-2021.06.07-14.38.52.510.jpk-nt-force	37.793930177491134	36.55873333020411	976.0	218.0	0.4765857707895893	0.10645051027882224	919.3412249240355	0.011103166098442141	0.03284478971822309	-0.30831384175673676	-0.3449307034318337	227.12455127555586	False	False
b1c1-2021.06.07-14.28.09.511	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.28.09.511	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.639E+01	1.375E-02	3.968E-13	3.968E-01	-5.00E+01	8.49E-02	19155.0	-0.40777504120577285	19869.0	-15.344803830859004	26.0	-16.777830169408503	26.0	9.715381841364245	516.0	0.13284956780003732	114.0	-12.736601307307655	576.0	1.7503595993367542	NaN	NaN	NaN	NaN	0.2462106383440734	NaN	/home/php/Bureau/21-Lucie/test/b1c1-2021.06.07-14.28.09.511.jpk-nt-force	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	False	False
b2c2-2021.06.07-14.37.36.051	False	FTU	FTU	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.37.36.051	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	2.0E-05	2.0E-06	2.0E+03	0.1	1.634E+01	2.162E-02	4.070E-13	4.070E-01	-1.19E+02	1.10E+00	12466.0	-0.3396704441342112	12722.0	-15.354698302609386	204.0	-19.717119742088617	204.0	6.3128906633808555	351.0	-0.8107090924032223	481.0	5.445170292508826	481.0	5.445170292508826	579	4.10981974302304	1197	1.6167694576316853	0.1806267936449847	NaN	/home/php/Bureau/21-Lucie/test/b2c2-2021.06.07-14.37.36.051.jpk-nt-force	4.516259630272464	2.53278617671492	130.0	716.0	0.06348118267341146	0.3496348214935585	123.00404757394972	0.0226059543740043	0.03627638866490047	-0.005673979170261577	-0.0014211348105875126	700.5760776290062	False	False
