	treat_supervised	automatic_type	type	report_problem	automatic_AL	AL	automatic_AL_axe	optical_state	model	Date	Hour	condition	drug	tolerance	bead	cell	couple	main_axis	stiffness (N/m)	theorical_contact_force (N)	theorical_distance_Press (m)	theorical_speed_Press (m/s)	theorical_freq_Press (Hz)	time_segment_pause_Wait1 (s)	theorical_distance_Pull (m)	theorical_speed_Pull (m/s)	theorical_freq_Pull (Hz)	baseline_origin_press (N)	baseline_corrected_press (pN)	std_origin_press (N)	std_corrected_press (pN)	slope (pN/nm)	error (pN/nm)	contact_point_index	contact_point_value  (pN)	force_min_press_index	force_min_press_value (pN)	force_min_curve_index	force_min_curve_value (pN)	time_min_curve_index	time_min_curve_value (s)	point_release_index	point_release_value (pN)	force_max_pull_index	force_max_pull_value (pN)	force_max_curve_index	force_max_curve_value (pN)	transition_point_index	transition_point_value (pN)	point_return_endline_index	point_return_endline_value (pN)	Pente (pN/nm)	jump_force_start_pull (pN)	jump_force_end_pull (pN)	jump_nb_points_start	jump_nb_points_end	jump_time_start_pull (s)	jump_time_end_pull (s)	jump_distance_start_pull (nm)	slope_fitted_classification_max	slope_fitted_classification_release	slope_fitted_classification_max_transition	slope_fitted_classification_return_endline	jump_distance_end_pull (nm)	relative_path	transition_point_value	valid_fit_press	valid_fit_pull
b2c2-2021.06.07-14.38.12.327	False	AD	AD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.38.12.327	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.649E+01	1.091E-02	3.920E-13	3.920E-01	-1.11E+02	7.95E-01	20327	-0.36980202199998946	20607	-14.84859202199999	198	-20.64812902199999	198	10.15908485938	371	-0.3693940219999898	526	5.625291978000011	526	5.625291978000011	593	4.018056978000011	719	1.5520600480927011	0.18825881669973896	4.548828121420044	2.62169807521191	155.0	193.0	0.07568359999999999	0.09423828000000001	149.88588556444847	0.012973514633302777	0.058721427550155955	-0.012494233430413193	-0.012554580686322153	192.1126246533695	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.38.12.327.txt	NaN	False	False
b1c1-2021.06.07-14.26.48.956	False	NAD	NAD	False	No	No	['+y', '-z']	No_correction	linear	2021.06.07	14.26.48.956	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.669E+01	1.522E-02	3.982E-13	3.982E-01	-7.62E+01	1.63E-01	20159	-0.10012393299998483	20587	-14.953978932999986	157	-18.013070932999987	157	10.12931885938	618	0.3957970670000143	1447	0.2711870670000137	4617	1.7801660670000155	NaN	NaN	NaN	NaN	0.25603886270887016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.26.48.956.txt	NaN	False	False
b2c2-2021.06.07-14.38.32.423	False	NAD	NAD	False	No	No	['-z']	No_correction	linear	2021.06.07	14.38.32.423	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.657E+01	-1.208E-02	4.155E-13	4.155E-01	-1.33E+02	9.12E-01	20226	-0.5771270000000116	20462	-14.940703000000013	204	-19.76632200000001	204	10.09121085938	334	0.18903299999998927	105	-14.81492200000001	461	4.037302499999987	NaN	NaN	NaN	NaN	0.17287914976557678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.38.32.423.txt	NaN	False	False
b2c2-2021.06.07-14.39.52.692	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.39.52.692	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.620E+01	1.422E-03	3.976E-13	3.976E-01	-1.08E+02	7.30E-01	20318	-0.2515526809999978	20594	-14.874246680999995	2	-21.152183680999997	2	10.15712885938	381	-0.17534368099999742	109	-16.519142680999998	497	4.117079919000002	NaN	NaN	NaN	NaN	0.19118450450130525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.39.52.692.txt	NaN	False	False
b1c1-2021.06.07-14.27.29.473	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.27.29.473	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.655E+01	-3.164E-02	3.712E-13	3.712E-01	-5.55E+01	1.70E-01	19894	-0.2871906760000332	20643	-15.519733676000033	143	-17.978269676000032	143	10.149833859380001	628	-0.2649066760000327	192	-11.05589567600003	868	2.0910003239999684	NaN	NaN	NaN	NaN	0.23635686302280634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.27.29.473.txt	NaN	False	False
b1c1-2021.06.07-14.26.08.760	False	NAD	NAD	False	No	No	['+y']	No_correction	linear	2021.06.07	14.26.08.760	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.689E+01	-1.974E-02	3.587E-13	3.587E-01	-4.89E+01	2.43E-01	10777	-0.6685541330000199	13136	-14.96669413300002	46	-15.811587133000021	46	6.43698985938	1643	-0.1990261330000183	1223	-0.7065781330000205	4433	1.8574888669999803	NaN	NaN	NaN	NaN	0.22659581284834462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.26.08.760.txt	NaN	False	False
b2c2-2021.06.07-14.37.52.161	False	AD	AD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.37.52.161	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.667E+01	1.287E-02	4.877E-13	4.877E-01	-1.13E+02	7.11E-01	13488	-0.2571437499999887	13748	-14.696907749999989	21	-20.386731749999985	21	6.82363285938	366	-0.20260174999998806	613	8.790106250000012	613	8.790106250000012	626	2.431272250000012	664	1.8742644659224206	0.18653339604932792	6.818195537606427	4.484556119731486	247.0	51.0	0.12060546999999999	0.024902350000000018	241.00432855053623	0.035367375493385214	0.03338720097461901	-0.042749923041506245	-0.04268111956931576	52.49352598608857	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.37.52.161.txt	NaN	False	False
b1c1-2021.06.07-14.27.09.289	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.27.09.289	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.660E+01	9.370E-03	3.733E-13	3.733E-01	-3.45E+01	6.27E-02	19624	-0.1119475549999917	20946	-14.901184554999992	68	-15.99020755499999	68	10.261197859380001	707	0.6343484450000098	103	-11.965048554999992	4174	1.85288244500001	NaN	NaN	NaN	NaN	0.3394582547923516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.27.09.289.txt	NaN	False	False
b1c1-2021.06.07-14.27.49.704	False	NAD	NAD	False	Yes	Yes	NaN	No_correction	linear	2021.06.07	14.27.49.704	NaN	NaN	4.0	b1	c1	b1c1	+x	6.496E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.655E+01	-1.385E-02	4.020E-13	4.020E-01	-4.89E+01	1.50E-01	20256	-1.1892913850000126	20740	-14.617902385000015	43	-18.927951385000014	43	10.248437859380001	392	-0.360860385000015	128	-13.78027038500001	519	2.8841686149999863	NaN	NaN	NaN	NaN	0.1921849885748471	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b1c1g-2021.06.07-14.27.49.704.txt	NaN	False	False
b2c2-2021.06.07-14.38.52.510	False	FTU	FTU	False	No	No	['-y']	No_correction	linear	2021.06.07	14.38.52.510	NaN	NaN	4.0	b2	c2	b2c2	+x	7.568E-05	1.5E-11	2.0E-05	2.0E-06	2.0E+03	0.1	2.0E-05	2.0E-06	2.0E+03	1.638E+01	-7.381E-03	3.853E-13	3.853E-01	-1.23E+02	6.62E-01	20201	0.2621159509999929	20444	-15.41603404900001	199	-19.91644004900001	199	10.079982859380001	357	-0.4835750490000083	1333	37.311375950999995	1333	37.311375950999995	1519	-0.025763049000007126	1551	0.8769144099314545	0.19289121410715201	37.793930362808354	36.5587334927396	976.0	218.0	0.4765625	0.10644531000000002	919.2946544369643	0.011103701722017825	0.03284657891139115	-0.3083249088060497	-0.3449418261574356	227.11351500939418	/home/php/Bureau/21-Lucie/test_processed-2021.06.08-10.50.14/processed_curves-2021.06.08-10.50.14/b2c2g-2021.06.07-14.38.52.510.txt	NaN	False	False
